DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA_Y_GRUPO_DE_EDAD,AÑO,Población_Total,Hombres,Mujeres,Tasa_Total,Brecha
Chuquisaca,Azurduy,Poroma,60 o más ,2024,3615,1778,1837,40.8298755186722,31.8806706047972
Chuquisaca,Azurduy,Azurduy,Azurduy,2001,5958,2826,3132,51.5944947969117,26.5850355077238
Chuquisaca,Azurduy,Azurduy,Azurduy,2012,6200,3127,3073,75.4032258064516,19.3654128393299
Chuquisaca,Azurduy,Azurduy,Azurduy,2024,5184,2604,2580,78.5493827160494,15.553888472118
Chuquisaca,Azurduy,Azurduy,15 a 24 ,2001,1667,795,872,79.4241151769646,17.9334718135134
Chuquisaca,Azurduy,Azurduy,15 a 24 ,2012,1576,854,722,96.8908629441624,1.93030029776772
Chuquisaca,Azurduy,Azurduy,15 a 24 ,2024,1116,573,543,98.3870967741936,0.445460067686796
Chuquisaca,Azurduy,Azurduy,25 a 39 ,2001,1595,737,858,58.4952978056426,30.9971123403959
Chuquisaca,Azurduy,Azurduy,25 a 39 ,2012,1748,878,870,87.3569794050343,13.2738983583379
Chuquisaca,Azurduy,Azurduy,25 a 39 ,2024,1271,645,626,95.7513768686074,3.58966738489734
Chuquisaca,Azurduy,Azurduy,40 a 59 ,2001,1559,758,801,36.3694676074407,31.6647396559051
Chuquisaca,Azurduy,Azurduy,40 a 59 ,2012,1607,814,793,67.5793403858121,28.3568447502874
Chuquisaca,Azurduy,Azurduy,40 a 59 ,2024,1530,761,769,76.9934640522876,21.4593418761502
Chuquisaca,Azurduy,Azurduy,60 o más ,2001,1137,536,601,21.9876868953386,26.8762261901806
Chuquisaca,Azurduy,Azurduy,60 o más ,2012,1269,581,688,42.1591804570528,28.2719749429612
Chuquisaca,Azurduy,Azurduy,60 o más ,2024,1267,625,642,45.698500394633,31.3819314641745
Chuquisaca,Azurduy,Azurduy,Rural,2001,5958,2826,3132,51.5944947969117,26.5850355077238
Chuquisaca,Azurduy,Azurduy,Rural,2012,6200,3127,3073,75.4032258064516,19.3654128393299
Chuquisaca,Azurduy,Azurduy,Rural,2024,5184,2604,2580,78.5493827160494,15.553888472118
Chuquisaca,Azurduy,Azurduy,15 a 24 ,2001,1667,795,872,79.4241151769646,17.9334718135134
Chuquisaca,Azurduy,Azurduy,15 a 24 ,2012,1576,854,722,96.8908629441624,1.93030029776772
Chuquisaca,Azurduy,Azurduy,15 a 24 ,2024,1116,573,543,98.3870967741936,0.445460067686796
Chuquisaca,Azurduy,Azurduy,25 a 39 ,2001,1595,737,858,58.4952978056426,30.9971123403959
Chuquisaca,Azurduy,Azurduy,25 a 39 ,2012,1748,878,870,87.3569794050343,13.2738983583379
Chuquisaca,Azurduy,Azurduy,25 a 39 ,2024,1271,645,626,95.7513768686074,3.58966738489734
Chuquisaca,Azurduy,Azurduy,40 a 59 ,2001,1559,758,801,36.3694676074407,31.6647396559051
Chuquisaca,Azurduy,Azurduy,40 a 59 ,2012,1607,814,793,67.5793403858121,28.3568447502874
Chuquisaca,Azurduy,Azurduy,40 a 59 ,2024,1530,761,769,76.9934640522876,21.4593418761502
Chuquisaca,Azurduy,Azurduy,60 o más ,2001,1137,536,601,21.9876868953386,26.8762261901806
Chuquisaca,Azurduy,Azurduy,60 o más ,2012,1269,581,688,42.1591804570528,28.2719749429612
Chuquisaca,Azurduy,Azurduy,60 o más ,2024,1267,625,642,45.698500394633,31.3819314641745
Chuquisaca,Azurduy,Tarvita,Tarvita,2001,8161,4017,4144,49.8590858963362,31.3351472938852
Chuquisaca,Azurduy,Tarvita,Tarvita,2012,8388,4216,4172,75.7033857892227,19.4733663112355
Chuquisaca,Azurduy,Tarvita,Tarvita,2024,11665,5709,5956,79.5970852978997,11.5200352300358
Chuquisaca,Azurduy,Tarvita,15 a 24 ,2001,2255,1149,1106,79.7782705099778,21.7103637568324
Chuquisaca,Azurduy,Tarvita,15 a 24 ,2012,2026,1070,956,97.7295162882527,-0.139795878465563
